description,industry,level,size,line_code,value,Unit,Footnotes
"When assessing performance, extent of focus of human resources: a moderate amount",Accommodation & food services,1,total,C2206.03,3027,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount","Transport, postal, & warehousing",1,total,C2206.03,423,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Information media & telecommunications,1,total,C2206.03,186,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Publishing,2,total,C2206.03,75,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Motion picture,2,total,C2206.03,63,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Telecommunications,2,total,C2206.03,45,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Financial & insurance services,1,total,C2206.03,216,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Finance,2,total,C2206.03,60,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Insurance,2,total,C2206.03,9,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Auxiliary,2,total,C2206.03,147,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount","Rental, hiring, & real estate services",1,total,C2206.03,351,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount","Professional, scientific, & technical services",1,total,C2206.03,1959,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Computer systems design,2,total,C2206.03,369,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Other professional scientific,2,total,C2206.03,1593,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Administrative & support services,1,total,C2206.03,615,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Education & training,1,total,C2206.03,366,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Health care & social assistance,1,total,C2206.03,1095,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Arts & recreation services,1,total,C2206.03,207,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",Other services,1,total,C2206.03,624,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a moderate amount",total,0,total,C2206.03,18738,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",total,0,6–19 employees,C2206.04,8346,Number of businesses,1 and 2 and 3 and 4 and 6
"When assessing performance, extent of focus of human resources: a great deal",total,0,20–49 employees,C2206.04,2487,Number of businesses,1 and 2 and 3 and 4 and 6
"When assessing performance, extent of focus of human resources: a great deal",total,0,50–99 employees,C2206.04,855,Number of businesses,1 and 2 and 3 and 4 and 6
"When assessing performance, extent of focus of human resources: a great deal",total,0,100+ employees,C2206.04,933,Number of businesses,1 and 2 and 3 and 4 and 6
"When assessing performance, extent of focus of human resources: a great deal","Agriculture, forestry, & fishing",1,total,C2206.04,927,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Agriculture,2,total,C2206.04,576,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Commercial fishing,2,total,C2206.04,12,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Forestry & logging,2,total,C2206.04,81,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Agriculture, forestry, & fishing support services",2,total,C2206.04,258,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Mining,1,total,C2206.04,24,Number of businesses,1 and 2 and 3 and 5 and 6
"When assessing performance, extent of focus of human resources: a great deal",Manufacturing,1,total,C2206.04,1125,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Food, beverage, & tobacco",2,total,C2206.04,300,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Textile, clothing, footwear, & leather",2,total,C2206.04,36,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Wood & paper product,2,total,C2206.04,102,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Printing, publishing, & recorded media",2,total,C2206.04,24,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Petroleum, coal, chemical, & associated product",2,total,C2206.04,102,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Non-metallic mineral product,2,total,C2206.04,45,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Metal product,2,total,C2206.04,180,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Transport and industrial machinery & equipment,2,total,C2206.04,195,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Other machinery & equipment,2,total,C2206.04,66,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Other manufacturing,2,total,C2206.04,72,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Electricity, gas, water, & waste services",1,total,C2206.04,66,Number of businesses,1 and 2 and 3 and 5 and 6
"When assessing performance, extent of focus of human resources: a great deal",Construction,1,total,C2206.04,1734,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Wholesale trade,1,total,C2206.04,759,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Machinery & equipment wholesaling,2,total,C2206.04,240,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Other wholesale trade,2,total,C2206.04,516,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Retail trade,1,total,C2206.04,1449,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Accommodation & food services,1,total,C2206.04,1071,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Transport, postal, & warehousing",1,total,C2206.04,492,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Information media & telecommunications,1,total,C2206.04,129,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Publishing,2,total,C2206.04,51,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Motion picture,2,total,C2206.04,39,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Telecommunications,2,total,C2206.04,36,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Financial & insurance services,1,total,C2206.04,246,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Finance,2,total,C2206.04,78,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Insurance,2,total,C2206.04,21,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal",Auxiliary,2,total,C2206.04,150,Number of businesses,1 and 2 and 3 and 6
"When assessing performance, extent of focus of human resources: a great deal","Rental, hiring, & real estate services",1,total,C2206.04,225,Number of businesses,1 and 2 and 3 and 6
